



                              FlightStream plot


     Simulation file:                            I:\Senior Design 2\AircraftDesignGroup6\flighstream.fsm
     Angle of attack (Deg)                       25.000
     Side-slip angle (Deg)                       .000
     Freestream velocity (in/s)                  20850.394
     Requested solver iterations                 1000
     Solver convergence limit                     1.000E-05
     Force solver to run all iterations           F
     Time increment (sec)                        1.000
     Solver model:                               Incompressible
     Solver mode:                                Steady
     Reference velocity (in/s)                   3937.008
     Reference length (in)                       197.640
     Reference area (in^2)                       1550.000
     Altitude (ft)                               .000
                                                  
     Wake refinement size (% average mesh size)  1000.000
     Reynolds Number                             34407128.
     Coordinate frame for analysis:              Reference
     Current solver iteration number:            1071
----------------------------------------------------------------------------------------------------
Lift coefficient_X, Lift coefficient_Y, Induced drag coefficient (vorticity)_X, Induced drag coefficient (vorticity)_Y, Pitching moment coefficient_X, Pitching moment coefficient_Y, 
----------------------------------------------------------------------------------------------------
0.1000000000000000E+01,-0.4255122668368982E+01,0.1000000000000000E+01,0.0000000000000000E+00,0.1000000000000000E+01,0.1514046507157955E+01,
0.2000000000000000E+01,-0.3197695538286932E+01,0.2000000000000000E+01,0.0000000000000000E+00,0.2000000000000000E+01,0.1551828168671342E+00,
0.3000000000000000E+01,-0.2398116740387732E+01,0.3000000000000000E+01,0.0000000000000000E+00,0.3000000000000000E+01,0.4321460942291628E+00,
0.4000000000000000E+01,-0.2927495903469431E+01,0.4000000000000000E+01,0.0000000000000000E+00,0.4000000000000000E+01,0.1273129788011644E+01,
0.5000000000000000E+01,-0.3894199821527755E+01,0.5000000000000000E+01,0.0000000000000000E+00,0.5000000000000000E+01,0.2400572638478380E+01,
0.6000000000000000E+01,-0.5010492265973156E+01,0.6000000000000000E+01,0.0000000000000000E+00,0.6000000000000000E+01,0.3807427815306188E+01,
0.7000000000000000E+01,-0.5406628682906554E+01,0.7000000000000000E+01,0.0000000000000000E+00,0.7000000000000000E+01,0.6060698275979744E+01,
0.8000000000000000E+01,-0.5237793937817953E+01,0.8000000000000000E+01,0.0000000000000000E+00,0.8000000000000000E+01,0.7760038712521274E+01,
0.9000000000000000E+01,-0.4528716453935838E+01,0.9000000000000000E+01,0.0000000000000000E+00,0.9000000000000000E+01,0.9071092234130155E+01,
